,artist,title,rating,url,chords
0,Mark Ronson Featuring Bruno Mars,UPTOWN FUNK!,184.0,https://tabs.ultimate-guitar.com/m/mark_ronson/uptown_funk_crd.htm,Am D Dm G F C Dm G Dm G Dm G Dm G Dm G Dm G Dm G Dm G Dm Dm Dm F F F G Dm G Dm G Dm G Dm G Dm Dm Dm Dm Dm G Dm G Dm G Dm G Dm G Dm G Dm G Dm G Dm Dm Dm F F F G Dm G Dm G Dm G Dm G Dm Dm Dm Dm Dm G Dm G Dm G Dm G Dm Dm G Dm G Dm G Dm G Dm G Dm G Dm G Dm G Dm G Dm G Dm Dm Dm Dm Dm G Dm G Dm Dm G Dm G
1,Ed Sheeran,THINKING OUT LOUD,4834.0,https://tabs.ultimate-guitar.com/e/ed_sheeran/thinking_out_loud_crd.htm,C C/E F G C C/E F G C C/E F G C C/E F G C C/E F G C C/E F G C C/E F G C C/E F G Dm G C Dm G Dm G Am Dm G C C/E F G C C/E F G C C/E F G C C/E F G Am G F C/E Dm G C C C/E F G C C/E F G C C/E F G C C/E F G C C/E F G C C/E F G C C/E F G C C/E F G Dm G C Dm G Dm G Am Dm G C C/E F G C C/E F G C C/E F G C C/E F G Am G F C/E Dm G C C C/E F G C C/E F G C C/E F G C C/E F G C C/E F G C C/E F G C C/E F G C C/E F G Am G F C/E Dm G C Am G F C/E Dm G C Am G F C/E Dm G C
2,Wiz Khalifa Featuring Charlie Puth,SEE YOU AGAIN,836.0,https://tabs.ultimate-guitar.com/w/wiz_khalifa/see_you_again_ver5_crd.htm,Em G C G Em G C G Em G C G Em G C G C G Em G C G Em G C G Em G C G Em G C G Em G C G Em G C G Em G C G Em G C G Em G C G Em G C G C G Em G C G Em G C G Em G C G Em G C G Em G C G Em G C G Em G C G Em G C G C G D C G D C G G Em C G D C D G Em G C G Em G C G Em G C G Em G C G C G
3,Fetty Wap,TRAP QUEEN,134.0,https://tabs.ultimate-guitar.com/f/fetty_wap/trap_queen_crd.htm,Am Dm F G Am Dm F G Am F Dm F Am Dm F G Am Dm F G Am Dm F G Am Dm F G Am Dm F G Am Am Dm F G Am Dm F G Am Dm F G Am Dm F G Am Dm F G Am Dm F G Am Am Dm G Am Dm F G Am Dm F G
4,Maroon 5,SUGAR,330.0,https://tabs.ultimate-guitar.com/m/maroon_5/sugar_ver3_crd.htm,C Am G C F Am Dm C C Am C Dm Gm C F C Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am C Dm C F Am Dm C F Am Dm C F Am Dm C F C Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am C Dm C F Am Dm C C C Gm C F Am Dm C F Am D C F Am Dm C F Am Dm C F Am C Dm C F Am Dm C F Am Dm C F Am Dm C F Am C Dm C F Am Dm C
5,WALK THE MOON,SHUT UP AND DANCE,629.0,https://tabs.ultimate-guitar.com/w/walk_the_moon/shut_up_and_dance_ver2_crd.htm,G G C C Em Em D D D D G C Em D G C Em D G C Em D G C Em D G G G C C Em Em D D D D G G C C Em Em D D D D G C Em D G C Em D G C Em D G C Em D G C Em D G C D G C Em D G C Em D G C Em D G C Em D G G G C C Em Em D D D D G C Em D G C Em D G C Em D G C Em D G C Em D G C D G C Em D G C Em D G C Em D G C Em D G G G C C Em Em D D D D G G C C Em Em D D D D G C Em D G C D G C Em D G C D G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G G C Em D G G C Em D G
6,Taylor Swift,BLANK SPACE,1071.0,https://tabs.ultimate-guitar.com/t/taylor_swift/blank_space_crd.htm,A7sus4 D Bm G A7sus4 A D Bm G A G A D Bm Em G D D Bm Em G G D D Bm G A7sus4 A D Bm G A G D Bm Em G D D Bm Em G G D D D D Bm Em G D Bm Em G G
7,The Weeknd,THE HILLS,208.0,https://tabs.ultimate-guitar.com/t/the_weeknd/the_hills_ver2_crd.htm,Bm G Em G Bm G Em G Bm G Em G Bm G Em G Bm G Em G Bm G Em G Bm G Em Em G Bm G Em Em G Bm A Em G Bm A Em Bm G Em Em G Bm G Em Em G
8,OMI,CHEERLEADER,211.0,https://tabs.ultimate-guitar.com/o/omi/cheerleader_ver2_crd.htm,E E B A E E B A E E B A E E B A E B A E B A E B A E B A E A B A E A B A E A B A E A B A E A B A E A B A E A B A E A B A E A B A E A B A E A B A E A B A E A B A E A B A E A B A E A B A E E B A E E B A E E B A E E B A E A B A E A B A E A B A E A B A E A B A E A B A E A B A E A B A
9,The Weeknd,CAN'T FEEL MY FACE,366.0,https://tabs.ultimate-guitar.com/t/the_weeknd/cant_feel_my_face_crd.htm,G F Am G F Am G F Am G F Am G F Am C G F Am G F Am G F Am G F Am G F Am G F Am C G F Am G F Am G F Am G F Am G F Am G F Am G F Am C G F Am G F Am G F Am G F Am G F Am
10,Ellie Goulding,LOVE ME LIKE YOU DO,806.0,https://tabs.ultimate-guitar.com/e/ellie_goulding/love_me_like_you_do_ver6_crd.htm,G D Em7 C D Em7 G Bm7 Em7 C D Em7 G Bm7 Em7 C D Em7 G Bm7 Em7 C Am Em Dsus4 D G Bm7 Em7 C D Em7 G Bm7 Em7 C D Em7 Em7) G Bm7 Em7 C Am Em Dsus4 D G Bm7 Em7 C Am Em Dsus4 D G D Em7 G Bm7 Em7 C D Em7 Em7) G Bm7 Em7 C Am Em Dsus4 D G Bm7 Em7 C Am Em Dsus4 D G Bm7 Em7 Cadd9
11,Hozier,TAKE ME TO CHURCH,1384.0,https://tabs.ultimate-guitar.com/h/hozier/take_me_to_church_ver2_crd.htm,F# Em Am Em Am G Am Em Am Em Am Em Am G Am Em Am D C Em Am Em Am G Am Em Am D C G C G C G Cm G F# F Em B7 G Am Em Am Em Am G Am Em Am D C Em Am Em Am G Am Em Am D C C Em B7 G Am C G B7 Em C G B7 Em C G B7 Em C G B7 Em D C G C G Cm G Cm G F Em B7 G Am
12,Taylor Swift Featuring Kendrick Lamar,BAD BLOOD,263.0,https://tabs.ultimate-guitar.com/t/taylor_swift/bad_blood_crd.htm,F: C: G: Am: F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am
